index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,V
186,62,0.505868619,4.44,28.06,28.06,26.112,3,20.7675,3.425,0.184506446
187,63,0.505868619,4.44,28.06,28.06,27.501,3,9.23,1.575,0.18859493
188,63,0.505868619,4.44,28.06,28.06,27.501,3,6.9225,3.425,0.161454443
189,63,0.505868619,4.44,28.06,28.06,27.501,3,20.7675,3.425,0.210162896
190,64,0.505868619,8.61,23.89,23.89,26.664,3,9.23,1.575,0.167786414
191,64,0.505868619,8.61,23.89,23.89,26.664,3,6.9225,3.425,0.156491778
192,64,0.505868619,8.61,23.89,23.89,26.664,3,20.7675,3.425,0.17345704
193,65,0.505868619,8.61,23.89,23.89,28.192,3,9.23,1.575,0.1693772
194,65,0.505868619,8.61,23.89,23.89,28.192,3,6.9225,3.425,0.151705445
195,65,0.505868619,8.61,23.89,23.89,28.192,3,20.7675,3.425,0.183700933
196,66,0.505868619,8.61,23.89,23.89,29.581,3,9.23,1.575,0.172132685
197,66,0.505868619,8.61,23.89,23.89,29.581,3,6.9225,3.425,0.151108944
198,66,0.505868619,8.61,23.89,23.89,29.581,3,20.7675,3.425,0.158202182
199,67,0.505868619,8.61,25.97,25.97,26.664,3,9.23,1.575,0.190744595
200,67,0.505868619,8.61,25.97,25.97,26.664,3,6.9225,3.425,0.140826527
201,67,0.505868619,8.61,25.97,25.97,26.664,3,20.7675,3.425,0.169969008
202,68,0.505868619,8.61,25.97,25.97,28.192,3,9.23,1.575,0.180763284
203,68,0.505868619,8.61,25.97,25.97,28.192,3,6.9225,3.425,0.147936903
204,68,0.505868619,8.61,25.97,25.97,28.192,3,20.7675,3.425,0.171833288
205,69,0.505868619,8.61,25.97,25.97,29.581,3,9.23,1.575,0.179304936
206,69,0.505868619,8.61,25.97,25.97,29.581,3,6.9225,3.425,0.145430167
207,69,0.505868619,8.61,25.97,25.97,29.581,3,20.7675,3.425,0.175463205
208,70,0.505868619,8.61,28.06,28.06,26.664,3,9.23,1.575,0.182708825
209,70,0.505868619,8.61,28.06,28.06,26.664,3,6.9225,3.425,0.152585274
210,70,0.505868619,8.61,28.06,28.06,26.664,3,20.7675,3.425,0.174919604
211,71,0.505868619,8.61,28.06,28.06,28.192,3,9.23,1.575,0.193357639
212,71,0.505868619,8.61,28.06,28.06,28.192,3,6.9225,3.425,0.138263621
213,71,0.505868619,8.61,28.06,28.06,28.192,3,20.7675,3.425,0.190112615
214,72,0.505868619,8.61,28.06,28.06,29.581,3,9.23,1.575,0.17613914
215,72,0.505868619,8.61,28.06,28.06,29.581,3,6.9225,3.425,0.155909403
216,72,0.505868619,8.61,28.06,28.06,29.581,3,20.7675,3.425,0.176429978
217,73,0.505868619,12.78,23.89,23.89,28.754,3,9.23,1.575,0.166734289
218,73,0.505868619,12.78,23.89,23.89,28.754,3,6.9225,3.425,0.141761375
219,73,0.505868619,12.78,23.89,23.89,28.754,3,20.7675,3.425,0.178348384
220,74,0.505868619,12.78,23.89,23.89,30.282,3,9.23,1.575,0.159097237
221,74,0.505868619,12.78,23.89,23.89,30.282,3,6.9225,3.425,0.160451827
