index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,MRT,T,V
1638,420,0.60993302,8.61,25.97,25.97,29.581,7,4.615,1.575,26.89929124,24.22330395,0.146102998
1639,420,0.60993302,8.61,25.97,25.97,29.581,7,13.845,1.575,26.72076574,23.14280755,0.167353624
1640,420,0.60993302,8.61,25.97,25.97,29.581,7,23.075,1.575,26.8839071,24.18992164,0.153242207
1641,420,0.60993302,8.61,25.97,25.97,29.581,7,24.875,1.575,27.03216869,23.5060494,0.136388867
1642,420,0.60993302,8.61,25.97,25.97,29.581,7,6.9225,3.425,26.86260874,23.22233785,0.200880643
1643,420,0.60993302,8.61,25.97,25.97,29.581,7,11.5375,3.425,26.81586915,22.54421438,0.144837987
1644,420,0.60993302,8.61,25.97,25.97,29.581,7,20.7675,3.425,26.82009219,22.90118871,0.214095407
1645,421,0.60993302,8.61,28.06,28.06,26.664,7,4.615,1.575,28.67926952,26.02035704,0.145921403
1646,421,0.60993302,8.61,28.06,28.06,26.664,7,13.845,1.575,28.46709567,24.50642259,0.15916238900000002
1647,421,0.60993302,8.61,28.06,28.06,26.664,7,23.075,1.575,28.65300135,25.75821463,0.14383091
1648,421,0.60993302,8.61,28.06,28.06,26.664,7,24.875,1.575,28.65550989,24.94315584,0.15179405099999999
1649,421,0.60993302,8.61,28.06,28.06,26.664,7,6.9225,3.425,28.54279971,24.65805859,0.18362089899999998
1650,421,0.60993302,8.61,28.06,28.06,26.664,7,11.5375,3.425,28.48145798,23.90304762,0.164893942
1651,421,0.60993302,8.61,28.06,28.06,26.664,7,20.7675,3.425,28.47529567,24.33132085,0.208575855
1652,422,0.60993302,8.61,28.06,28.06,28.191999999999997,7,4.615,1.575,28.67435729,25.85498716,0.153688796
1653,422,0.60993302,8.61,28.06,28.06,28.191999999999997,7,13.845,1.575,28.47286031,24.28121231,0.155509716
1654,422,0.60993302,8.61,28.06,28.06,28.191999999999997,7,23.075,1.575,28.65403836,25.66820472,0.149929331
1655,422,0.60993302,8.61,28.06,28.06,28.191999999999997,7,24.875,1.575,28.71364904,24.97965289,0.152404126
1656,422,0.60993302,8.61,28.06,28.06,28.191999999999997,7,6.9225,3.425,28.57708753,24.65379526,0.160392691
1657,422,0.60993302,8.61,28.06,28.06,28.191999999999997,7,11.5375,3.425,28.5258803,24.03249115,0.152677258
1658,422,0.60993302,8.61,28.06,28.06,28.191999999999997,7,20.7675,3.425,28.51184222,24.21022805,0.21547038899999998
1659,423,0.60993302,8.61,28.06,28.06,29.581,7,4.615,1.575,28.69535916,25.99041132,0.152323254
1660,423,0.60993302,8.61,28.06,28.06,29.581,7,13.845,1.575,28.48699269,24.26583293,0.165451865
1661,423,0.60993302,8.61,28.06,28.06,29.581,7,23.075,1.575,28.66901056,25.89347123,0.146409404
1662,423,0.60993302,8.61,28.06,28.06,29.581,7,24.875,1.575,28.78027687,25.09486504,0.146605929
1663,423,0.60993302,8.61,28.06,28.06,29.581,7,6.9225,3.425,28.61634181,24.66492245,0.15481376
1664,423,0.60993302,8.61,28.06,28.06,29.581,7,11.5375,3.425,28.58091505,24.07652291,0.176593693
1665,423,0.60993302,8.61,28.06,28.06,29.581,7,20.7675,3.425,28.5781022,24.29940622,0.20207441899999998
1666,424,0.60993302,12.78,23.89,23.89,28.754,7,4.615,1.575,25.17870304,23.28243806,0.133795907
1667,424,0.60993302,12.78,23.89,23.89,28.754,7,13.845,1.575,25.05505528,22.32328931,0.140190139
1668,424,0.60993302,12.78,23.89,23.89,28.754,7,23.075,1.575,25.16835473,22.95677303,0.132850864
1669,424,0.60993302,12.78,23.89,23.89,28.754,7,24.875,1.575,25.29489564,22.69837173,0.115114309
1670,424,0.60993302,12.78,23.89,23.89,28.754,7,6.9225,3.425,25.20877394,22.57376736,0.200953607
1671,424,0.60993302,12.78,23.89,23.89,28.754,7,11.5375,3.425,25.1381177,22.33274287,0.17229118300000001
1672,424,0.60993302,12.78,23.89,23.89,28.754,7,20.7675,3.425,25.16879362,22.62833918,0.20413778
1673,425,0.60993302,12.78,23.89,23.89,30.281999999999996,7,4.615,1.575,25.19314407,23.37222657,0.134303063
1674,425,0.60993302,12.78,23.89,23.89,30.281999999999996,7,13.845,1.575,25.06691364,22.30834215,0.147838345
1675,425,0.60993302,12.78,23.89,23.89,30.281999999999996,7,23.075,1.575,25.19019308,22.98240337,0.127158849
1676,425,0.60993302,12.78,23.89,23.89,30.281999999999996,7,24.875,1.575,25.3624098,22.74420534,0.111938005
1677,425,0.60993302,12.78,23.89,23.89,30.281999999999996,7,6.9225,3.425,25.2495921,22.63847952,0.20084196199999999
1678,425,0.60993302,12.78,23.89,23.89,30.281999999999996,7,11.5375,3.425,25.19005409,22.25727081,0.164640427
1679,425,0.60993302,12.78,23.89,23.89,30.281999999999996,7,20.7675,3.425,25.22333766,22.7417937,0.195232367
1680,426,0.60993302,12.78,23.89,23.89,31.671,7,4.615,1.575,25.20513246,23.37100769,0.132721228
1681,426,0.60993302,12.78,23.89,23.89,31.671,7,13.845,1.575,25.08426981,22.33906416,0.146905541
1682,426,0.60993302,12.78,23.89,23.89,31.671,7,23.075,1.575,25.20317919,23.03093219,0.125566059
1683,426,0.60993302,12.78,23.89,23.89,31.671,7,24.875,1.575,25.42382934,22.80256448,0.11663785800000001
1684,426,0.60993302,12.78,23.89,23.89,31.671,7,6.9225,3.425,25.28994503,22.6524986,0.207281037
1685,426,0.60993302,12.78,23.89,23.89,31.671,7,11.5375,3.425,25.23486174,22.26380912,0.16796242399999997
1686,426,0.60993302,12.78,23.89,23.89,31.671,7,20.7675,3.425,25.26357556,22.87227341,0.20052335100000002
1687,427,0.60993302,12.78,25.97,25.97,28.754,7,4.615,1.575,26.96689152,25.03809418,0.142771483
1688,427,0.60993302,12.78,25.97,25.97,28.754,7,13.845,1.575,26.81347072,23.77429676,0.148574564
1689,427,0.60993302,12.78,25.97,25.97,28.754,7,23.075,1.575,26.95015877,24.6520689,0.128422868
1690,427,0.60993302,12.78,25.97,25.97,28.754,7,24.875,1.575,27.031025099999997,24.30340916,0.120934961
1691,427,0.60993302,12.78,25.97,25.97,28.754,7,6.9225,3.425,26.95695556,24.35575381,0.17395207899999998
1692,427,0.60993302,12.78,25.97,25.97,28.754,7,11.5375,3.425,26.86797649,23.64645605,0.17404530899999998
1693,427,0.60993302,12.78,25.97,25.97,28.754,7,20.7675,3.425,26.89442109,23.87976127,0.204804063
1694,428,0.60993302,12.78,25.97,25.97,30.281999999999996,7,4.615,1.575,26.98506624,24.97987815,0.138230472
1695,428,0.60993302,12.78,25.97,25.97,30.281999999999996,7,13.845,1.575,26.837383000000003,23.76130773,0.149909906
1696,428,0.60993302,12.78,25.97,25.97,30.281999999999996,7,23.075,1.575,26.95443525,24.58382387,0.14153471
1697,428,0.60993302,12.78,25.97,25.97,30.281999999999996,7,24.875,1.575,27.09175513,24.26805716,0.11875006199999999
1698,428,0.60993302,12.78,25.97,25.97,30.281999999999996,7,6.9225,3.425,26.992125,24.07611771,0.185890762
1699,428,0.60993302,12.78,25.97,25.97,30.281999999999996,7,11.5375,3.425,26.93167745,23.50283162,0.175003971
1700,428,0.60993302,12.78,25.97,25.97,30.281999999999996,7,20.7675,3.425,26.94277776,23.95932948,0.214899829
1701,429,0.60993302,12.78,25.97,25.97,31.671,7,4.615,1.575,26.99352188,24.96441695,0.1378309
1702,429,0.60993302,12.78,25.97,25.97,31.671,7,13.845,1.575,26.835928499999998,23.77480691,0.151705939
1703,429,0.60993302,12.78,25.97,25.97,31.671,7,23.075,1.575,26.98003391,24.63170289,0.127995184
1704,429,0.60993302,12.78,25.97,25.97,31.671,7,24.875,1.575,27.15622936,24.35530742,0.122808998
1705,429,0.60993302,12.78,25.97,25.97,31.671,7,6.9225,3.425,27.02239737,24.092173499999998,0.17487209199999998
1706,429,0.60993302,12.78,25.97,25.97,31.671,7,11.5375,3.425,26.96830957,23.73395367,0.167427732
1707,429,0.60993302,12.78,25.97,25.97,31.671,7,20.7675,3.425,26.98854582,24.17618699,0.208834557
1708,430,0.60993302,12.78,28.06,28.06,28.754,7,4.615,1.575,28.77700601,26.75535341,0.139173345
1709,430,0.60993302,12.78,28.06,28.06,28.754,7,13.845,1.575,28.58897162,25.09965962,0.146431995
1710,430,0.60993302,12.78,28.06,28.06,28.754,7,23.075,1.575,28.75099471,26.53440394,0.13935726
1711,430,0.60993302,12.78,28.06,28.06,28.754,7,24.875,1.575,28.78841631,25.85460283,0.134442533
1712,430,0.60993302,12.78,28.06,28.06,28.754,7,6.9225,3.425,28.70744937,25.78200871,0.178035312
1713,430,0.60993302,12.78,28.06,28.06,28.754,7,11.5375,3.425,28.61758303,25.02398211,0.163101595
1714,430,0.60993302,12.78,28.06,28.06,28.754,7,20.7675,3.425,28.63484394,25.281179100000003,0.21911093399999998
1715,431,0.60993302,12.78,28.06,28.06,30.281999999999996,7,4.615,1.575,28.78562554,26.60121281,0.140426952
1716,431,0.60993302,12.78,28.06,28.06,30.281999999999996,7,13.845,1.575,28.60828324,25.31517326,0.16309822300000001
1717,431,0.60993302,12.78,28.06,28.06,30.281999999999996,7,23.075,1.575,28.75722301,26.42349137,0.140793828
1718,431,0.60993302,12.78,28.06,28.06,30.281999999999996,7,24.875,1.575,28.84991392,25.80616695,0.135705957
1719,431,0.60993302,12.78,28.06,28.06,30.281999999999996,7,6.9225,3.425,28.7394897,25.61193812,0.187396405
1720,431,0.60993302,12.78,28.06,28.06,30.281999999999996,7,11.5375,3.425,28.70014535,25.06824508,0.156045411
1721,431,0.60993302,12.78,28.06,28.06,30.281999999999996,7,20.7675,3.425,28.69689695,25.19314101,0.204219063
1722,432,0.60993302,12.78,28.06,28.06,31.671,7,4.615,1.575,28.79430768,26.70167179,0.146288724
1723,432,0.60993302,12.78,28.06,28.06,31.671,7,13.845,1.575,28.60874738,25.20967907,0.151668967
1724,432,0.60993302,12.78,28.06,28.06,31.671,7,23.075,1.575,28.76044416,26.51276523,0.14181727800000002
1725,432,0.60993302,12.78,28.06,28.06,31.671,7,24.875,1.575,28.91003122,25.85899602,0.133032319
1726,432,0.60993302,12.78,28.06,28.06,31.671,7,6.9225,3.425,28.77823765,25.56534669,0.162599069
1727,432,0.60993302,12.78,28.06,28.06,31.671,7,11.5375,3.425,28.70954315,25.2670391,0.162230916
1728,432,0.60993302,12.78,28.06,28.06,31.671,7,20.7675,3.425,28.72937355,25.43981006,0.21139989
1729,433,0.393132184,23.89,14.17,14.587,13.337,7,4.615,1.575,17.204933399999998,17.69105364,0.110864154
1730,433,0.393132184,23.89,14.17,14.587,13.337,7,13.845,1.575,17.29962758,17.48006676,0.102037066
1731,433,0.393132184,23.89,14.17,14.587,13.337,7,23.075,1.575,17.27590369,17.53995679,0.12672577699999998
1732,433,0.393132184,23.89,14.17,14.587,13.337,7,24.875,1.575,16.96022038,17.15258263,0.12314727
1733,433,0.393132184,23.89,14.17,14.587,13.337,7,6.9225,3.425,17.22124124,17.56627432,0.10660627
1734,433,0.393132184,23.89,14.17,14.587,13.337,7,11.5375,3.425,17.21401723,17.57314414,0.111245446
1735,433,0.393132184,23.89,14.17,14.587,13.337,7,20.7675,3.425,17.23217056,17.35051052,0.091458535
1736,434,0.393132184,23.89,14.17,14.587,11.114,7,4.615,1.575,17.18512305,17.58238381,0.10825921
1737,434,0.393132184,23.89,14.17,14.587,11.114,7,13.845,1.575,17.28151056,17.44128114,0.10512579400000001
1738,434,0.393132184,23.89,14.17,14.587,11.114,7,23.075,1.575,17.26088984,17.54167977,0.12893163800000002
1739,434,0.393132184,23.89,14.17,14.587,11.114,7,24.875,1.575,16.87198637,17.12014283,0.12464854199999999
1740,434,0.393132184,23.89,14.17,14.587,11.114,7,6.9225,3.425,17.14872502,17.35922336,0.11055194199999999
1741,434,0.393132184,23.89,14.17,14.587,11.114,7,11.5375,3.425,17.14704768,17.50155397,0.108998883
1742,434,0.393132184,23.89,14.17,14.587,11.114,7,20.7675,3.425,17.16833655,17.27673938,0.09350310199999999
1743,435,0.393132184,23.89,14.17,14.587,10.280999999999999,7,4.615,1.575,17.17735826,17.5544307,0.10835934900000001
1744,435,0.393132184,23.89,14.17,14.587,10.280999999999999,7,13.845,1.575,17.27496857,17.42000044,0.10542631400000001
1745,435,0.393132184,23.89,14.17,14.587,10.280999999999999,7,23.075,1.575,17.25562163,17.54323797,0.129202196
1746,435,0.393132184,23.89,14.17,14.587,10.280999999999999,7,24.875,1.575,16.83935462,17.10793445,0.12507269699999998
1747,435,0.393132184,23.89,14.17,14.587,10.280999999999999,7,6.9225,3.425,17.12230792,17.30189702,0.112635628
1748,435,0.393132184,23.89,14.17,14.587,10.280999999999999,7,11.5375,3.425,17.12286977,17.45805281,0.10866261699999999
1749,435,0.393132184,23.89,14.17,14.587,10.280999999999999,7,20.7675,3.425,17.14445335,17.24848165,0.094712644
1750,436,0.393132184,23.89,14.17,15.142000000000001,13.337,7,4.615,1.575,17.60600388,18.03896448,0.109963959
1751,436,0.393132184,23.89,14.17,15.142000000000001,13.337,7,13.845,1.575,17.69706459,17.84925269,0.10407562599999999
1752,436,0.393132184,23.89,14.17,15.142000000000001,13.337,7,23.075,1.575,17.67973409,17.96075513,0.126434315
1753,436,0.393132184,23.89,14.17,15.142000000000001,13.337,7,24.875,1.575,17.36209185,17.53003762,0.122989425
1754,436,0.393132184,23.89,14.17,15.142000000000001,13.337,7,6.9225,3.425,17.6232203,17.8257822,0.10885213099999999
1755,436,0.393132184,23.89,14.17,15.142000000000001,13.337,7,11.5375,3.425,17.619853,17.98301777,0.10650659300000001
1756,436,0.393132184,23.89,14.17,15.142000000000001,13.337,7,20.7675,3.425,17.63723609,17.71840996,0.090981214
1757,437,0.393132184,23.89,14.17,15.142000000000001,11.114,7,4.615,1.575,17.58696195,17.94392592,0.108010459
1758,437,0.393132184,23.89,14.17,15.142000000000001,11.114,7,13.845,1.575,17.68020334,17.80236864,0.105171566
1759,437,0.393132184,23.89,14.17,15.142000000000001,11.114,7,23.075,1.575,17.66557103,17.9705358,0.127613906
1760,437,0.393132184,23.89,14.17,15.142000000000001,11.114,7,24.875,1.575,17.27420973,17.4979108,0.12494399199999999
1761,437,0.393132184,23.89,14.17,15.142000000000001,11.114,7,6.9225,3.425,17.55039401,17.63517741,0.113965892
1762,437,0.393132184,23.89,14.17,15.142000000000001,11.114,7,11.5375,3.425,17.55315094,17.84771715,0.106832355
1763,437,0.393132184,23.89,14.17,15.142000000000001,11.114,7,20.7675,3.425,17.57369496,17.63280128,0.093108071
1764,438,0.393132184,23.89,14.17,15.142000000000001,10.280999999999999,7,4.615,1.575,17.58025423,17.92348312,0.107591326
1765,438,0.393132184,23.89,14.17,15.142000000000001,10.280999999999999,7,13.845,1.575,17.67361176,17.78240995,0.105712349
1766,438,0.393132184,23.89,14.17,15.142000000000001,10.280999999999999,7,23.075,1.575,17.65969482,17.95653176,0.128393232
1767,438,0.393132184,23.89,14.17,15.142000000000001,10.280999999999999,7,24.875,1.575,17.24130543,17.48457889,0.12543356
