index,sim,tem,mass,n,occ,x,y,MRT
502,168,15,9,28,3,10.185,3.8,29.03176031
503,168,15,9,28,3,13.175,5.8,29.03597329
504,169,20,11,27,3,7.185,5.8,28.10215077
505,169,20,11,27,3,10.185,3.8,28.11615886
506,169,20,11,27,3,13.175,5.8,28.14375411
507,170,19,3,24,3,7.185,5.8,25.42405931
508,170,19,3,24,3,10.185,3.8,25.38000042
509,170,19,3,24,3,13.175,5.8,25.42450241
510,171,14,26,25,3,7.185,5.8,26.51593604
511,171,14,26,25,3,10.185,3.8,26.61712615
512,171,14,26,25,3,13.175,5.8,26.64496331
513,172,21,11,24,3,7.185,5.8,25.453325
514,172,21,11,24,3,10.185,3.8,25.49224501
515,172,21,11,24,3,13.175,5.8,25.52761391
516,173,18,14,22,3,7.185,5.8,23.74934858
517,173,18,14,22,3,10.185,3.8,23.85344393
518,173,18,14,22,3,13.175,5.8,23.86506107
519,174,22,11,23,3,7.185,5.8,24.57272775
520,174,22,11,23,3,10.185,3.8,24.62293381
521,174,22,11,23,3,13.175,5.8,24.65614996
522,175,22,3,26,3,7.185,5.8,27.13596964
523,175,22,3,26,3,10.185,3.8,27.07638448
524,175,22,3,26,3,13.175,5.8,27.11622995
525,176,22,20,25,3,7.185,5.8,26.4418566
526,176,22,20,25,3,10.185,3.8,26.53505907
527,176,22,20,25,3,13.175,5.8,26.53578705
528,177,15,11,27,3,7.185,5.8,28.15512411
529,177,15,11,27,3,10.185,3.8,28.16249467
530,177,15,11,27,3,13.175,5.8,28.18632144
531,178,16,1,28,3,7.185,5.8,28.81346755
532,178,16,1,28,3,10.185,3.8,28.85603903
