index,sim,tem,mass,n,occ,x,y,V
376,125,16,8,20,3,10.185,3.8,0.103075855
377,125,16,8,20,3,13.175,5.8,0.099255529
378,126,11,6,21,3,7.185,5.8,0.106026242
379,126,11,6,21,3,10.185,3.8,0.100353064
380,126,11,6,21,3,13.175,5.8,0.094313387
381,127,19,3,23,3,7.185,5.8,0.104203625
382,127,19,3,23,3,10.185,3.8,0.11161919
383,127,19,3,23,3,13.175,5.8,0.105664116
384,128,17,16,24,3,7.185,5.8,0.109142156
385,128,17,16,24,3,10.185,3.8,0.09343347
386,128,17,16,24,3,13.175,5.8,0.091744553
387,129,17,23,23,3,7.185,5.8,0.079551777
388,129,17,23,23,3,10.185,3.8,0.082107716
389,129,17,23,23,3,13.175,5.8,0.086146141
390,130,16,3,24,3,7.185,5.8,0.101731125
391,130,16,3,24,3,10.185,3.8,0.112332378
392,130,16,3,24,3,13.175,5.8,0.101640704
393,131,19,24,25,3,7.185,5.8,0.073815147
394,131,19,24,25,3,10.185,3.8,0.078749084
395,131,19,24,25,3,13.175,5.8,0.085764295
396,132,15,2,27,3,7.185,5.8,0.094633481
397,132,15,2,27,3,10.185,3.8,0.096641036
398,132,15,2,27,3,13.175,5.8,0.108056921
399,133,18,16,24,3,7.185,5.8,0.110555339
400,133,18,16,24,3,10.185,3.8,0.093238121
401,133,18,16,24,3,13.175,5.8,0.09085625
402,134,15,13,23,3,7.185,5.8,0.110849301
403,134,15,13,23,3,10.185,3.8,0.096261122
404,134,15,13,23,3,13.175,5.8,0.094570855
405,135,11,9,28,3,7.185,5.8,0.087544541
406,135,11,9,28,3,10.185,3.8,0.082583845
407,135,11,9,28,3,13.175,5.8,0.084964344
408,136,23,9,28,3,7.185,5.8,0.105967198
409,136,23,9,28,3,10.185,3.8,0.097305981
410,136,23,9,28,3,13.175,5.8,0.095467387
411,137,21,30,20,3,7.185,5.8,0.077335574
412,137,21,30,20,3,10.185,3.8,0.074100247
413,137,21,30,20,3,13.175,5.8,0.076526596
414,138,20,2,28,3,7.185,5.8,0.105945335
415,138,20,2,28,3,10.185,3.8,0.098751838
416,138,20,2,28,3,13.175,5.8,0.11838749
417,139,14,5,27,3,7.185,5.8,0.090026804
418,139,14,5,27,3,10.185,3.8,0.104788209
419,139,14,5,27,3,13.175,5.8,0.095846417
420,140,12,14,27,3,7.185,5.8,0.08954015
421,140,12,14,27,3,10.185,3.8,0.082909519
422,140,12,14,27,3,13.175,5.8,0.08218039
423,141,20,25,25,3,7.185,5.8,0.076241772
424,141,20,25,25,3,10.185,3.8,0.078651061
425,141,20,25,25,3,13.175,5.8,0.084268099
426,142,20,2,21,3,7.185,5.8,0.115645177
427,142,20,2,21,3,10.185,3.8,0.115600811
428,142,20,2,21,3,13.175,5.8,0.103346431
429,144,19,26,27,3,7.185,5.8,0.069626212
430,144,19,26,27,3,10.185,3.8,0.07459058
431,144,19,26,27,3,13.175,5.8,0.082140757
432,145,22,27,25,3,7.185,5.8,0.076455989
433,145,22,27,25,3,10.185,3.8,0.076504146
434,145,22,27,25,3,13.175,5.8,0.07944597
435,146,17,7,22,3,7.185,5.8,0.110114538
436,146,17,7,22,3,10.185,3.8,0.108391867
437,146,17,7,22,3,13.175,5.8,0.096069581
438,147,19,1,27,3,7.185,5.8,0.106045261
439,147,19,1,27,3,10.185,3.8,0.102885483
440,147,19,1,27,3,13.175,5.8,0.103727666
441,148,25,4,26,3,7.185,5.8,0.131392933
442,148,25,4,26,3,10.185,3.8,0.109135612
443,148,25,4,26,3,13.175,5.8,0.133193215
444,149,15,31,20,3,7.185,5.8,0.07859491
445,149,15,31,20,3,10.185,3.8,0.075684422
446,149,15,31,20,3,13.175,5.8,0.078369625
447,150,17,4,24,3,7.185,5.8,0.099643552
448,150,17,4,24,3,10.185,3.8,0.11186576
449,150,17,4,24,3,13.175,5.8,0.102950873
